"image","C","U","S","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10"
"0000002.jpg",21,8,29,0.083706066093347,0.042806700874824,-0.0520240271492853,0.012140180841245,0.0837184968847869,-0.0220087293357487,0.030525916044041,-0.0966965927533783,0.0154465372575837,0.0805306390574452
"0000003.jpg",1,2,3,-0.00235453936922869,-0.00539606761408745,0.00606816604630041,-0.00419800717279153,-0.000599099841345022,-0.00146059776371792,-0.0104294810430835,0.00102870381493245,0.00276435280256488,-0.00653185913115879
"0000004.jpg",24,3,27,0.0923511508923544,0.0342826047972574,-0.0962885972558041,-0.0705969439789285,0.0120226165911988,-0.0382730955497241,0.0537299910981216,-0.0323658723638806,-0.0295172556075133,-0.0167419175878126
"0000006.jpg",9,23,32,-0.153091434901738,0.00923959873977742,-0.0864629462641704,0.0398967648769874,-0.0879284799911916,-0.0409373594807561,-0.0494275102119867,-0.0523983768392871,0.00448739206035154,-0.0121829270591467
"0000007.jpg",7,14,21,-0.044250237343442,0.000102236406000489,-0.0198053924194502,-0.0516291705877333,-0.0642872049657237,-0.0471335167335147,0.0522776586230492,0.033773992616579,0.0645508749940651,-0.00817705826962119
"0000008.jpg",20,10,30,0.0288818498222148,0.0211669407943342,-0.0701007572648379,-0.00348843209561273,0.0495834319693139,0.00901339709661966,-0.0569257897272405,0.0212285383873488,0.0369030439663158,-0.0277045826438691
"0000009.jpg",26,13,39,0.172519901994634,-0.100721847866949,0.180019692711714,-0.024565560838466,-0.0247805841712558,0.0305786693020606,0.00830500223400263,-0.00451583733930819,-0.00118235272730154,-0.0914028978702014
"0000010.jpg",24,10,34,0.0497306785478673,0.0387447529849528,0.0192784921831065,-0.0607283195956878,-0.0680867083662851,0.00614706511918048,-0.0339001132562777,-0.0194016362243682,0.0983999678257885,-0.0254164895516073
"0000011.jpg",3,14,17,0.00659007933577567,-0.0142446076142846,0.0108377266068702,0.0130828103737426,0.00579295747752019,-0.0210125545296209,-0.0229502238582996,-0.0162798811058646,-0.0265687511263194,0.0190801780920575
"0000015.jpg",9,27,36,-0.063510610470171,-0.078813123925523,0.055733964162099,0.0328599669934252,0.0268275544958177,0.0861640812259004,0.0424854560001598,0.0134200218001202,0.0448871259731904,-0.00474782112061511
"0000018.jpg",30,10,40,-0.101376501651391,0.0755201992268857,-0.16262081013944,0.030123219966262,-0.0842951298845445,-0.0302099711940959,0.0644122237440214,0.111202128883238,-0.0287697425156475,-0.0339447060327156
"0000022.jpg",17,16,33,-0.0157398865707819,0.119693541785444,-0.069919683663526,0.0152057663609306,0.0547818238601767,0.0483250085506491,0.0111672518478162,-0.0737940880921129,-0.0267318604482045,0.0703524774376856
"0000024.jpg",17,17,34,0.00329723444904232,0.0514110945202097,-0.0354208325916269,0.0124953269812485,0.0570969120082056,0.0402412494229454,-0.0105080483685371,0.061240092292558,0.0221246273729108,-0.0671215302847532
"0000025.jpg",1,1,2,0.000842980757630606,-0.00312024519382606,0.00406596042118686,-0.00104946398973551,0.00548411908232829,0.00180816519597522,-0.00912156583258811,0.000912407262428583,-0.00114782180247108,0.000619001287528235
"0000026.jpg",19,21,40,-0.0396215319108354,0.0328419169142757,0.108477625953776,0.0188327729605444,-0.0697594463493853,0.1161762230597,-0.0290550211144125,-0.0817619916358106,-0.102382765347577,0.0356134525114173
"0000028.jpg",1,1,2,-0.00280656050193985,0.00163225707151339,0.00661638766610663,-0.000979748910231342,-0.00368214705691883,0.00204222211420929,-0.00455274427795257,0.00133359608158976,0.00358943408196832,-0.00407658236134389
"0000029.jpg",1,NA,NA,0.000109654754295617,4.60292494304023e-05,-0.000118512510987906,-0.000342807008554331,-3.11564529495156e-05,-8.68005158896068e-05,0.000171156178819992,0.000439911875307889,0.000121054409190802,6.7318679206757e-05
"0000030.jpg",12,22,34,-0.0734141848285221,0.012916965800454,0.0162509171686965,-0.0399901333084757,0.0279595010809801,0.0720522088736294,0.0129732960099031,0.0450255074505272,-0.00262219853376666,0.00750373661781682
"0000031.jpg",1,1,2,0.000128578135074252,-0.0014650528157144,-0.00227530049702864,-0.000457663934491955,-0.000805391495676905,-0.00387713115646582,-0.000205729884612538,0.00112202633992423,-0.00165983468646353,0.00043913949684489
"0000032.jpg",16,17,33,-0.0123801867991895,-0.00107466259863933,-0.0294440608852956,-0.0602431488780975,0.0161640255776974,-0.0189327923051839,0.0175732077675084,-0.0418022075227818,-0.0395102675386755,-0.041893544341508
"0000033.jpg",1,1,2,-0.00168555827905134,0.000179714247376116,0.00976004199538268,0.00228486776549347,0.00513134257452327,0.00788284235329384,-0.00660534187576471,-0.00987999835999809,-0.00112162312524067,-0.00143940566711059
"0000034.jpg",25,17,42,0.0987610650789745,0.0198404704053172,0.0593675205727744,-0.000133745952729747,-0.0182359076802139,-0.0058959295245973,0.140564887710098,-0.112001321983582,-0.145211063112229,0.189190645485273
"0000035.jpg",11,17,28,-0.0122590015743527,-0.0224996234540679,0.0497690447945129,-0.0441048378538206,-0.0639845571683993,-0.0268148197697327,-0.0713791930585776,-0.0462393418924294,0.00922342282125621,-0.00445098374873548
"0000036.jpg",23,5,28,0.0318581690729385,-0.0254127013468866,-0.135670900229808,-0.0309472280738147,-0.0485064880184423,0.0305969961140599,-0.0305898859002021,0.0535332339150999,-0.00307997682668839,0.0417366270878794
"0000037.jpg",12,8,20,0.0091353114200662,0.0229004697386296,0.0144685624358475,0.00208989675243044,-0.0443603014048336,0.0248041440651524,0.00885091569501596,-0.018847669330496,-0.00661415023828679,-0.0147657690371334
"0000038.jpg",13,15,28,0.0162952872402924,-0.0112394754100531,0.00771914074821104,0.0270454174359352,0.0688322769818949,0.0302192532561239,-0.0425229912119013,0.0107142791535378,-0.0128845362533031,0.0875098078056492
"0000039.jpg",13,13,26,-0.0512772254118507,0.00418128695944026,0.0455833450697726,0.0143418128966021,-0.0765175656069741,0.00700542979371644,0.0461712109816684,0.0552898421385988,-0.0658210032737509,0.0264064270726055
"0000040.jpg",16,17,33,-0.0470474919984339,0.0170893493324425,-0.0031022764271409,-0.00416327757416539,-0.00286440869520386,-0.0260112073521702,0.0607743773636649,-0.0290104796608425,0.0257097703571289,-0.0273819040169066
"0000041.jpg",12,12,24,-0.00881303672767985,-0.00978150917457164,0.0143225847597561,0.034659811150588,-0.0337341856816489,0.0319100401233678,-0.0203787589769048,0.0591480386976002,0.118786025795059,-0.037046553286858
"0000043.jpg",26,12,38,0.201042918273989,0.0289541277892489,0.0674983573041676,-0.050693881204996,-0.0759892401709878,0.136898018420168,0.246771945333843,0.118450999296075,0.0448303126866787,0.00283152988439814
"0000044.jpg",10,24,34,-0.0419825928610181,0.0179088452510891,-0.080733310421166,-0.0227654983090281,-0.00163901771231257,-0.020750821053266,0.0908900048130755,0.0455349203187437,0.047145811558919,-0.0349254914050305
"0000045.jpg",23,20,43,-0.0024830558691257,0.113901293738334,0.0332065606590216,0.0399586387147559,0.0783828726565135,0.0391405224462095,0.0360212657391689,-0.0270364099524113,0.00332407120807803,0.0347292905786122
"0000047.jpg",21,21,42,0.00671377262542331,-0.0117679942787953,0.0271608219875972,0.0164321571203038,-0.0576993535993234,-0.0522750584881157,0.0104869346187457,8.54264977698921e-05,-0.0121369504040676,0.0313071205590448
"0000048.jpg",1,1,2,-0.00661171602708283,0.00627524224503367,-0.0035944555126533,-0.00808072688725441,-0.026009101394887,-0.0082857355510153,0.0118351166295966,0.0201591454956487,0.0199357164314511,-0.0137098001693605
"0000049.jpg",32,6,38,0.115571802899326,0.0663012260563496,-0.0709823178396709,0.087656371301132,-0.077681325553829,0.154917960273659,0.113923936158712,0.118714612679339,0.0556960483685917,-0.0318017403288065
"0000052.jpg",20,5,25,0.0106607915469096,0.219742711996399,0.108261872700103,0.184604499719731,0.033593309652307,-0.0743593759216901,0.0551767485869477,-0.000668013199798973,-0.0783698438024903,-0.0623340541503919
"0000053.jpg",12,8,20,0.0409876668305961,-0.00331962464140333,-0.000906103669440747,-0.0221643768179684,-0.0411879524605113,-0.0348450917613613,-0.0310992249328405,0.0151723999871477,-0.0450640301081911,0.0372688006712753
"0000054.jpg",1,NA,NA,0.000661475826121835,0.00147312448029565,-0.00162779950404776,0.000970033841787757,-0.000259411486799839,0.000142206490511782,0.00281674558951728,-0.000230250016640728,-0.00116404505519571,0.00161345064264055
"0000055.jpg",28,21,49,-0.019604111230163,0.0211444100105714,0.0354865396049763,0.0204392738753144,-0.0773871501125313,-0.0295749389623971,0.057117798716371,0.108451286346295,0.0309308175880227,0.0160277626247773
"0000056.jpg",1,1,2,0.00617638324974856,-0.00511787472620415,0.00467440520424098,0.00915223016295768,0.00701992006035365,0.00986771456227339,-0.0130006260790138,-0.00573884909976708,-0.0148255004805147,0.0128188725471147
"0000057.jpg",2,16,18,0.00192827149366324,-0.0887867649350403,0.0201914929505823,0.0510803052986434,0.0667899195564209,-0.0345360961482527,0.0522845333246729,-0.00378625344325847,-0.01139056495561,-0.001948064304913
"0000058.jpg",15,17,32,-0.0618718320766826,0.0239013078832829,0.0340631009491865,-0.0539710751365068,-0.0077594184953572,0.0167060144689166,-0.0932547397356359,0.031461578253409,0.0135451515650136,0.00945353225996384
"0000060.jpg",13,23,36,-0.152759824519154,0.0469030141395742,-0.154558750238077,-0.0214345543322778,0.080989129975094,0.0272146331333207,0.0264542080303295,0.0554995418600868,-0.0465440968513476,-0.0311092980502512
"0000061.jpg",9,31,40,-0.0704635273765167,-0.0338053505128452,-0.00402700878219168,-0.0122511275594997,0.0477436059040974,-0.0302887128686322,-0.107645100233618,-0.0617573400051374,-0.0115774721995937,-0.0494698743582957
"0000063.jpg",19,13,32,-0.0796938190961285,0.112664397770516,-0.0227882634637139,-0.135444132472821,0.0232356339134303,-0.0262218926902612,-0.00300864076130938,0.0176271775894063,-0.00527761185347465,0.0399176923763574
"0000064.jpg",7,25,32,-0.0480608550243152,-0.0260825744594936,0.0134586901132395,-0.0545431191091117,0.05965217127306,0.051731027343315,0.0415326653356199,-0.0435270671702667,-0.0609539229755683,-0.00666119653211287
"0000065.jpg",13,22,35,-0.0305374843383294,-0.0760798954600732,-0.00347303768198209,0.0851181181384217,0.0445257850218189,0.00214843090896584,-0.0345933335602315,-0.00296910883347949,-0.103591780642472,0.0511799781606458
"0000066.jpg",1,5,6,-0.0100087930108575,-0.00530700674776379,-0.0126219592340142,-0.000801095352181267,-0.0308909399732519,-0.0174859852482894,0.0109074574920267,-0.00453209985665634,0.0100447319632719,-0.0166185346536407
"0000067.jpg",20,13,33,0.0894033375671476,0.0318498232764556,0.0649766408946668,-0.138101852116815,0.0977230173305488,-0.161160129608824,-0.0419504648896295,0.00642541513533158,0.138713902929341,-0.177162480252927
"0000070.jpg",11,18,29,-0.0359558405016869,0.00719880995648779,0.0114184228400699,-0.00425907835293982,0.00637271859892833,0.0493958841666252,0.00930845417026881,0.0402657195135243,-0.0808349072447404,-0.0314709624334204
"0000071.jpg",1,5,6,-0.000703446588323425,-0.0028283732690091,-0.00203802287883188,0.000522108301366948,0.00160269855905397,0.000887159730414027,0.00129622964755943,0.00231798661057475,0.00122980556909452,0.00111667301890233
"0000072.jpg",1,NA,NA,-9.46169038931597e-06,0.000755541032572401,0.00107839399302037,5.74284629688132e-05,0.000387117521363708,0.00189516532028803,0.000188443031716276,-0.000341057232308177,0.000890444547827124,-0.000185910408818975
"0000073.jpg",1,NA,NA,-0.00250602624517497,0.00307477323732562,-0.00200499079563386,-0.00352227865364896,-0.00399055397652088,-0.00552147201498849,0.00612711715320584,0.00290191592979194,0.00560797504551945,-0.00576675801544698
"0000074.jpg",8,16,24,-0.0487225532948651,0.0354004707326937,0.00245123138643727,-0.0279184177057227,0.0326476404876664,0.0239128726898789,0.0386045743216056,0.0368077183804708,0.0154665444762288,-0.0360352781695269
"0000075.jpg",25,7,32,0.0309604137918472,-0.0584950127031116,-0.062097653144116,-0.0181302940232578,-0.162635169806389,-0.0686857795501895,-0.0261687480500806,-0.0189086051000927,-0.107820219721619,0.0527030944217291
"0000076.jpg",2,1,3,-0.00283898892864183,-0.000651287915805351,-0.00161401972188112,-0.00481081943620466,0.00509078182081451,0.00291402226828546,0.00528971770450578,0.00109188094462676,0.00721991736939079,-0.00170202729736779
"0000078.jpg",20,9,29,0.0266828849207138,0.0241076273851075,0.000503347457987948,-0.0507569080982097,0.112375010522762,0.0465743840507891,0.0481207031403022,-0.0385945131460329,0.0608887284571983,-0.0284652261963102
"0000079.jpg",18,19,37,-0.0288913193321342,0.0622399653833426,-0.00939547342731634,-0.0763717797877851,-0.0367351971045615,-0.0482298143368111,0.0382550211620176,0.00214155297577713,0.0036004079120638,-0.103899484703107
"0000080.jpg",34,15,49,-0.032527429211042,0.113196584343381,-0.138893518084469,0.0144605581569607,-0.0667585144989384,0.0156938606870216,0.0613356533358983,0.100961386033016,-0.122324270669318,0.071204920103968
"0000083.jpg",7,27,34,-0.0635287528026061,-0.0479593549616145,0.0760698876117456,0.0101787118486931,0.0273038508082797,-0.0387932874835765,-0.085856372004758,0.030396138724804,-0.0316556383836733,0.00419211714964231
